ACCEL_XOUT_H,ACCEL_YOUT_H,ACCEL_ZOUT_H,GYRO_XOUT_H,GYRO_YOUT_H,GYRO_ZOUT_H,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,CHECKSUM,target
5908,14780,7116,-57,13,-23,240,178,135,193,181,28664,good
6108,14800,7176,-52,22,-19,240,178,135,193,181,28962,good
6064,14520,7348,-61,-30,-2,241,178,135,193,181,28767,good
6044,15332,7460,-46,-7,4,240,178,135,193,181,29714,good
6176,14852,7140,-54,7,-3,240,178,135,193,181,29045,good
6492,14472,7592,-26,-7,-9,240,178,135,193,181,29441,good
6364,14584,7884,48,3,10,240,177,134,192,181,29817,good
6124,14848,7348,-21,76,-2,240,177,134,192,181,29297,good
6756,15368,6424,-76,20,-41,240,177,134,192,181,29375,good
6160,14704,6868,-57,21,-55,240,177,134,192,181,28565,good
6348,14608,6560,-40,-25,-6,240,177,134,192,181,28369,good
6496,14896,6520,-29,3,-9,240,177,134,192,181,28801,good
6476,14848,6496,-30,12,-26,240,177,134,192,181,28700,good
6280,14736,7144,-54,-24,-26,240,177,134,192,181,28980,good
6340,14940,6896,-46,11,-7,240,177,134,192,181,29058,good
6520,14788,6708,-45,-2,-26,240,177,134,192,181,28867,good
6452,14896,6840,-54,5,-16,240,177,134,192,181,29047,good
6260,15316,6852,-63,-7,-18,240,177,134,192,181,29264,good
6140,15076,6868,-29,-7,-13,240,177,134,192,181,28959,good
6432,14652,7056,-49,6,-26,240,177,134,192,181,28995,good
6648,14924,6740,-9,15,-46,240,177,134,192,181,29196,good
6676,14988,6576,-70,-15,-21,240,177,134,192,181,29058,good
6264,14716,7140,-82,-33,-2,240,177,134,192,181,28927,good
6464,15128,6724,-72,-27,-18,240,177,134,192,181,29123,good
5960,15196,7188,-46,6,10,240,177,134,192,181,29238,good
6332,15672,6748,-113,52,5,240,177,134,192,181,29620,good
6560,15088,7408,28,39,-21,240,177,134,193,181,30027,good
